om_order                      -订单表

om_order_state           -订单状态表

om_service_order         -服务订单表

om_service_order_his   -服务订单历史表

om_so_order_rela            -订单相关表

om_pa_order                 -

om_group_construct_order   -施工表

om_indep_prod_order_attr   -主产品属性表

om_change_rate_record      -速率表

om_change_rate_record_his      -速率历史表

om_group_finish_device          -设备出库表？

om_znwg_changeport          -智能网关改端口表

om_order_key_info               -订单关键信息表

wo_work_order              -环节表

wo_work_order_ing      -外线环节表

wo_work_order_state     -环节状态表

wo_auto_work_order      -

wo_dispatch_log             -调度策略表

uos_tache_define           -环节表

uos_staff                        -员工表

uos_job_staff                -员工职位表

uos_area                       -地市表

inf_boss_sheet                -boss入库表

inf_iom_retsheet              -boss归档表

inf_res_msg                      -资源表

int_rms_msg                      -rms表

lq_low_quality_order_rate   -质差订单表

pm_loid_equipment     -loid表

pm_cust                         -客户表

znzw_div_equipment_list      -智能组网
