TACHE_NAME,ID,ACC_NBR,ORDER_TITLE,NAME,进展
IMS专线资源归档,445165371,97926620908,关于广西扬宇供应链有限公司对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
IMS专线资源归档,197637201,97120322206,,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,404342869,97725175339,关于浦北县远东生态原鸡养殖场对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,273443476,97822734987,关于广西沐元丰劳务有限公司对商务快线营销计划产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,404395485,97825535355,关于中交隧道工程局有限公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,390106822,97124794299,,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,362286492,98121707342,关于广西星汉木业有限公司对商务快线营销计划产品的业务变更操作的请求,商务快线-移机,资源侧有数据已归档
资源归档（集客）,471801213,97824076771,关于广西路桥工程集团有限公司（2-3分部）对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,404395582,97825522222,关于中交隧道工程局有限公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,397920799,98025479152,关于中国铁塔股份有限公司崇左市分公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,392866436,97323658505,关于阳朔县深能环保有限公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,376999402,98122863284,关于武宣县东乡镇康乐幼儿园对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
IMS专线资源归档,401116833,97124722889,,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,337612536,97322388304,关于阳朔县漓江景区管理有限公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,207841227,97118732099,,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,433566219,97123708793,广西交通实业有限公司_南宁_互联网专线,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,400562596,97125122799,,语音专线快开-新装,资源侧有数据已归档
IMS专线资源归档,421565377,97423546157,关于广西北部湾银行股份有限公司梧州分行对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,301877592,97421883290,关于广西菲玛特科技有限公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
RMS施工拆（集客）,489322507,97926410169,关于北海市米特贸易有限公司对专线类--IMS语音专线营销计划产品的业务注销操作的请求,语音专线快开-拆机,综调处理
资源归档（集客）,198044515,97418609377,关于藤县公安局对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,266422675,97622823036,关于平果市人力资源和社会保障局对商务快线营销计划产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,475997611,97322763235,,语音专线快开-新装,资源侧有数据已归档
IMS专线资源归档,391320319,97625372923,,语音专线快开-新装,资源侧有数据已归档
IMS专线资源归档,197637647,97120333502,,语音专线快开-新装,资源侧有数据已归档
IMS专线资源归档,416959632,97124904058,,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,334489106,97724245312,关于钦州幼儿师范高等专科学校对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,288788017,97118962592,南宁城市建设投资集团有限责任公司_南宁_互联网专线,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,468976894,97823855230,关于南丹县应急管理局对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,376999278,98122982100,关于来宾市兴宾区石陵凌渭小学对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,416739112,97125171956,关于广西焕臻再生资源回收有限公司对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,468974674,97723855165,关于黄日芳小卖部对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,428316246,97124887281,关于南宁市武鸣区城厢镇大风车幼儿园对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
IMS专线资源归档,417485303,97124905853,,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,467538646,97423062894,关于广西翅冀钢铁有限公司对互联网专线营销计划（极速光纤）产品的业务变更操作的请求,互联网专线快开-扩容,综资有已回单
资源归档（集客）,410143375,97124995920,关于隆安县乔建镇熊大大幼儿园对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,364907914,97024897834,关于东兴盛宝工艺包装制品有限公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
